bucket,group_id,item_id,label,token_length
600–800,arxiv-2404.14827v1,arxiv-2404.14827v1_human_written,0,666
400–600,arxiv-2404.15197v1,arxiv-2404.15197v1_ai_generated_llama-3.3-70b-instruct,2,408
200–400,arxiv-2404.15197v1,arxiv-2404.15197v1_ai_humanized_tool,3,318
400–600,arxiv-2404.15197v1,arxiv-2404.15197v1_human_ai_polished_gpt-3.5-turbo,1,432
400–600,arxiv-2404.15197v1,arxiv-2404.15197v1_human_written,0,437
200–400,arxiv-2404.15805v1,arxiv-2404.15805v1_ai_generated_qwen2.5-72b-instruct,2,398
400–600,arxiv-2404.15805v1,arxiv-2404.15805v1_ai_generated_qwen2.5-72b-instruct_THEN_gpt-3.5-turbo,2,422
400–600,arxiv-2404.15805v1,arxiv-2404.15805v1_human_ai_polished_gpt-3.5-turbo,1,426
400–600,arxiv-2404.15805v1,arxiv-2404.15805v1_human_written,0,454
200–400,essay-AAAOPP13416000000907,essay-AAAOPP13416000000907_ai_generated_gemini-1.5-pro-002,2,376
200–400,essay-AAAOPP13416000000907,essay-AAAOPP13416000000907_ai_humanized_tool,3,291
200–400,essay-AAAOPP13416000000907,essay-AAAOPP13416000000907_human_ai_polished_gpt-3.5-turbo,1,278
200–400,essay-AAAOPP13416000000907,essay-AAAOPP13416000000907_human_written,0,376
200–400,essay-AAAOPP13416000001113,essay-AAAOPP13416000001113_ai_generated_gemini-1.5-pro-002,2,224
200–400,essay-AAAOPP13416000001113,essay-AAAOPP13416000001113_ai_generated_gemini-1.5-pro-002_THEN_gpt-3.5-turbo,2,255
200–400,essay-AAAOPP13416000001113,essay-AAAOPP13416000001113_human_ai_polished_gpt-3.5-turbo,1,224
200–400,essay-AAAOPP13416000001113,essay-AAAOPP13416000001113_human_written,0,259
200–400,essay-AAAOPP13416000001168,essay-AAAOPP13416000001168_ai_generated_gemini-1.5-pro-002,2,303
200–400,essay-AAAOPP13416000001168,essay-AAAOPP13416000001168_ai_humanized_human,3,330
200–400,essay-AAAOPP13416000001168,essay-AAAOPP13416000001168_human_ai_polished_claude-3-5-sonnet-20241022,1,320
200–400,essay-AAAOPP13416000001168,essay-AAAOPP13416000001168_human_written,0,305
0–200,essay-AAAOPP13416000001576,essay-AAAOPP13416000001576_ai_generated_qwen2.5-72b-instruct,2,137
0–200,essay-AAAOPP13416000001576,essay-AAAOPP13416000001576_ai_generated_qwen2.5-72b-instruct_THEN_gpt-4o-2024-11-20,2,148
0–200,essay-AAAOPP13416000001576,essay-AAAOPP13416000001576_human_ai_polished_claude-3-5-sonnet-20241022,1,146
0–200,essay-AAAOPP13416000001576,essay-AAAOPP13416000001576_human_written,0,129
200–400,essay-AAAOPP13416000001725,essay-AAAOPP13416000001725_ai_generated_gpt-3.5-turbo,2,300
200–400,essay-AAAOPP13416000001725,essay-AAAOPP13416000001725_ai_generated_gpt-3.5-turbo_THEN_gemini-1.5-pro-002,2,312
200–400,essay-AAAOPP13416000001725,essay-AAAOPP13416000001725_human_ai_polished_gpt-4o-2024-11-20,1,228
200–400,essay-AAAOPP13416000001725,essay-AAAOPP13416000001725_human_written,0,305
400–600,essay-AAAOPP13416000003722,essay-AAAOPP13416000003722_ai_generated_llama-3.3-70b-instruct,2,411
400–600,essay-AAAOPP13416000003722,essay-AAAOPP13416000003722_ai_generated_llama-3.3-70b-instruct_THEN_gemini-1.5-pro-002,2,418
200–400,essay-AAAOPP13416000003722,essay-AAAOPP13416000003722_human_ai_polished_gpt-4o-2024-11-20,1,340
400–600,essay-AAAOPP13416000003722,essay-AAAOPP13416000003722_human_written,0,430
200–400,essay-AAAOPP13416000003775,essay-AAAOPP13416000003775_ai_generated_gpt-3.5-turbo,2,345
200–400,essay-AAAOPP13416000003775,essay-AAAOPP13416000003775_ai_generated_gpt-3.5-turbo_THEN_gpt-4o-2024-11-20,2,361
200–400,essay-AAAOPP13416000003775,essay-AAAOPP13416000003775_human_ai_polished_gpt-4o-2024-11-20,1,294
200–400,essay-AAAOPP13416000003775,essay-AAAOPP13416000003775_human_written,0,389
200–400,essay-AAAOPP13416000003812,essay-AAAOPP13416000003812_ai_generated_claude-3-5-sonnet-20241022,2,335
200–400,essay-AAAOPP13416000003812,essay-AAAOPP13416000003812_ai_generated_claude-3-5-sonnet-20241022_THEN_claude-3-5-sonnet-20241022,2,333
200–400,essay-AAAOPP13416000003812,essay-AAAOPP13416000003812_human_ai_polished_gpt-4o-2024-11-20,1,329
200–400,essay-AAAOPP13416000003812,essay-AAAOPP13416000003812_human_written,0,339
200–400,essay-AAAOPP13416000004452,essay-AAAOPP13416000004452_ai_generated_gpt-4o-2024-11-20,2,253
200–400,essay-AAAOPP13416000004452,essay-AAAOPP13416000004452_ai_generated_gpt-4o-2024-11-20_THEN_gemini-1.5-pro-002,2,286
200–400,essay-AAAOPP13416000004452,essay-AAAOPP13416000004452_human_ai_polished_claude-3-5-sonnet-20241022,1,255
200–400,essay-AAAOPP13416000004452,essay-AAAOPP13416000004452_human_written,0,273
200–400,essay-AAAOPP13416000005068,essay-AAAOPP13416000005068_ai_generated_gpt-3.5-turbo,2,268
200–400,essay-AAAOPP13416000005068,essay-AAAOPP13416000005068_ai_generated_gpt-3.5-turbo_THEN_claude-3-5-sonnet-20241022,2,290
200–400,essay-AAAOPP13416000005068,essay-AAAOPP13416000005068_human_ai_polished_gpt-3.5-turbo,1,283
200–400,essay-AAAOPP13416000005068,essay-AAAOPP13416000005068_human_written,0,270
0–200,essay-AAAOPP13416000006150,essay-AAAOPP13416000006150_ai_generated_llama-3.3-70b-instruct,2,169
200–400,essay-AAAOPP13416000006150,essay-AAAOPP13416000006150_ai_humanized_tool,3,213
0–200,essay-AAAOPP13416000006150,essay-AAAOPP13416000006150_human_ai_polished_gpt-3.5-turbo,1,143
0–200,essay-AAAOPP13416000006150,essay-AAAOPP13416000006150_human_written,0,157
0–200,essay-AAAOPP13416000007181,essay-AAAOPP13416000007181_ai_generated_qwen2.5-72b-instruct,2,195
200–400,essay-AAAOPP13416000007181,essay-AAAOPP13416000007181_ai_humanized_tool,3,228
200–400,essay-AAAOPP13416000007181,essay-AAAOPP13416000007181_human_ai_polished_gpt-4o-2024-11-20,1,209
200–400,essay-AAAOPP13416000007181,essay-AAAOPP13416000007181_human_written,0,205
0–200,essay-AAAOPP13416000007250,essay-AAAOPP13416000007250_ai_generated_llama-3.3-70b-instruct,2,136
0–200,essay-AAAOPP13416000007250,essay-AAAOPP13416000007250_ai_generated_llama-3.3-70b-instruct_THEN_gemini-1.5-pro-002,2,137
0–200,essay-AAAOPP13416000007250,essay-AAAOPP13416000007250_human_ai_polished_gpt-4o-2024-11-20,1,134
0–200,essay-AAAOPP13416000007250,essay-AAAOPP13416000007250_human_written,0,145
200–400,essay-AAAOPP13416000007723,essay-AAAOPP13416000007723_ai_generated_qwen2.5-72b-instruct,2,212
200–400,essay-AAAOPP13416000007723,essay-AAAOPP13416000007723_ai_generated_qwen2.5-72b-instruct_THEN_gpt-4o-2024-11-20,2,229
200–400,essay-AAAOPP13416000007723,essay-AAAOPP13416000007723_human_ai_polished_gemini-1.5-pro-002,1,210
200–400,essay-AAAOPP13416000007723,essay-AAAOPP13416000007723_human_written,0,229
200–400,essay-AAAOPP13416000007902,essay-AAAOPP13416000007902_ai_generated_gemini-1.5-pro-002,2,351
200–400,essay-AAAOPP13416000007902,essay-AAAOPP13416000007902_ai_generated_gemini-1.5-pro-002_THEN_gpt-3.5-turbo,2,387
200–400,essay-AAAOPP13416000007902,essay-AAAOPP13416000007902_human_ai_polished_gpt-4o-2024-11-20,1,352
200–400,essay-AAAOPP13416000007902,essay-AAAOPP13416000007902_human_written,0,354
200–400,essay-AAAOPP13416000008460,essay-AAAOPP13416000008460_ai_generated_gpt-3.5-turbo,2,209
200–400,essay-AAAOPP13416000008460,essay-AAAOPP13416000008460_ai_generated_gpt-3.5-turbo_THEN_gpt-3.5-turbo,2,201
200–400,essay-AAAOPP13416000008460,essay-AAAOPP13416000008460_human_ai_polished_gemini-1.5-pro-002,1,201
200–400,essay-AAAOPP13416000008460,essay-AAAOPP13416000008460_human_written,0,203
200–400,essay-AAAOPP13416000010458,essay-AAAOPP13416000010458_ai_generated_llama-3.3-70b-instruct,2,231
200–400,essay-AAAOPP13416000010458,essay-AAAOPP13416000010458_ai_generated_llama-3.3-70b-instruct_THEN_gpt-3.5-turbo,2,243
200–400,essay-AAAOPP13416000010458,essay-AAAOPP13416000010458_human_ai_polished_gemini-1.5-pro-002,1,247
200–400,essay-AAAOPP13416000010458,essay-AAAOPP13416000010458_human_written,0,225
200–400,essay-AAAOPP13416000010869,essay-AAAOPP13416000010869_ai_generated_claude-3-5-sonnet-20241022,2,355
200–400,essay-AAAOPP13416000010869,essay-AAAOPP13416000010869_ai_humanized_tool,3,317
200–400,essay-AAAOPP13416000010869,essay-AAAOPP13416000010869_human_ai_polished_gemini-1.5-pro-002,1,376
200–400,essay-AAAOPP13416000010869,essay-AAAOPP13416000010869_human_written,0,376
0–200,essay-AAAOPP13416000010989,essay-AAAOPP13416000010989_ai_generated_claude-3-5-sonnet-20241022,2,177
0–200,essay-AAAOPP13416000010989,essay-AAAOPP13416000010989_ai_generated_claude-3-5-sonnet-20241022_THEN_gemini-1.5-pro-002,2,182
0–200,essay-AAAOPP13416000010989,essay-AAAOPP13416000010989_human_ai_polished_claude-3-5-sonnet-20241022,1,174
200–400,essay-AAAOPP13416000010989,essay-AAAOPP13416000010989_human_written,0,206
200–400,essay-AAAOPP13416000011387,essay-AAAOPP13416000011387_ai_generated_llama-3.3-70b-instruct,2,324
200–400,essay-AAAOPP13416000011387,essay-AAAOPP13416000011387_ai_generated_llama-3.3-70b-instruct_THEN_gemini-1.5-pro-002,2,318
200–400,essay-AAAOPP13416000011387,essay-AAAOPP13416000011387_human_ai_polished_gpt-4o-2024-11-20,1,210
200–400,essay-AAAOPP13416000011387,essay-AAAOPP13416000011387_human_written,0,352
200–400,essay-AAAOPP13416000011747,essay-AAAOPP13416000011747_ai_generated_claude-3-5-sonnet-20241022,2,243
200–400,essay-AAAOPP13416000011747,essay-AAAOPP13416000011747_ai_humanized_human,3,241
200–400,essay-AAAOPP13416000011747,essay-AAAOPP13416000011747_human_ai_polished_gpt-3.5-turbo,1,230
200–400,essay-AAAOPP13416000011747,essay-AAAOPP13416000011747_human_written,0,257
200–400,essay-AAAOPP13416000013570,essay-AAAOPP13416000013570_ai_generated_qwen2.5-72b-instruct,2,316
200–400,essay-AAAOPP13416000013570,essay-AAAOPP13416000013570_ai_generated_qwen2.5-72b-instruct_THEN_claude-3-5-sonnet-20241022,2,295
200–400,essay-AAAOPP13416000013570,essay-AAAOPP13416000013570_human_ai_polished_claude-3-5-sonnet-20241022,1,311
200–400,essay-AAAOPP13416000013570,essay-AAAOPP13416000013570_human_written,0,301
200–400,essay-AAAOPP13416000013969,essay-AAAOPP13416000013969_ai_generated_gpt-4o-2024-11-20,2,266
200–400,essay-AAAOPP13416000013969,essay-AAAOPP13416000013969_ai_humanized_human,3,270
200–400,essay-AAAOPP13416000013969,essay-AAAOPP13416000013969_human_ai_polished_gemini-1.5-pro-002,1,253
200–400,essay-AAAOPP13416000013969,essay-AAAOPP13416000013969_human_written,0,273
200–400,essay-AAAOPP13416000014457,essay-AAAOPP13416000014457_ai_generated_gemini-1.5-pro-002,2,240
200–400,essay-AAAOPP13416000014457,essay-AAAOPP13416000014457_ai_generated_gemini-1.5-pro-002_THEN_gemini-1.5-pro-002,2,208
200–400,essay-AAAOPP13416000014457,essay-AAAOPP13416000014457_human_ai_polished_gemini-1.5-pro-002,1,244
200–400,essay-AAAOPP13416000014457,essay-AAAOPP13416000014457_human_written,0,203
200–400,essay-AAAOPP13416000014501,essay-AAAOPP13416000014501_ai_generated_claude-3-5-sonnet-20241022,2,253
200–400,essay-AAAOPP13416000014501,essay-AAAOPP13416000014501_ai_generated_claude-3-5-sonnet-20241022_THEN_gpt-4o-2024-11-20,2,253
200–400,essay-AAAOPP13416000014501,essay-AAAOPP13416000014501_human_ai_polished_gpt-3.5-turbo,1,248
200–400,essay-AAAOPP13416000014501,essay-AAAOPP13416000014501_human_written,0,231
200–400,essay-AAAOPP13416000017969,essay-AAAOPP13416000017969_ai_generated_llama-3.3-70b-instruct,2,368
400–600,essay-AAAOPP13416000017969,essay-AAAOPP13416000017969_ai_humanized_tool,3,464
200–400,essay-AAAOPP13416000017969,essay-AAAOPP13416000017969_human_ai_polished_gemini-1.5-pro-002,1,345
200–400,essay-AAAOPP13416000017969,essay-AAAOPP13416000017969_human_written,0,352
200–400,essay-AAAOPP13416000024550,essay-AAAOPP13416000024550_ai_generated_gemini-1.5-pro-002,2,325
200–400,essay-AAAOPP13416000024550,essay-AAAOPP13416000024550_ai_generated_gemini-1.5-pro-002_THEN_claude-3-5-sonnet-20241022,2,365
200–400,essay-AAAOPP13416000024550,essay-AAAOPP13416000024550_human_ai_polished_gpt-3.5-turbo,1,329
200–400,essay-AAAOPP13416000024550,essay-AAAOPP13416000024550_human_written,0,318
200–400,essay-AAAOPP13416000024899,essay-AAAOPP13416000024899_ai_generated_gpt-4o-2024-11-20,2,237
200–400,essay-AAAOPP13416000024899,essay-AAAOPP13416000024899_ai_generated_gpt-4o-2024-11-20_THEN_gpt-4o-2024-11-20,2,245
200–400,essay-AAAOPP13416000024899,essay-AAAOPP13416000024899_human_ai_polished_claude-3-5-sonnet-20241022,1,235
200–400,essay-AAAOPP13416000024899,essay-AAAOPP13416000024899_human_written,0,244
0–200,essay-AAAOPP13416000025589,essay-AAAOPP13416000025589_ai_generated_llama-3.3-70b-instruct,2,178
0–200,essay-AAAOPP13416000025589,essay-AAAOPP13416000025589_ai_generated_llama-3.3-70b-instruct_THEN_gemini-1.5-pro-002,2,185
0–200,essay-AAAOPP13416000025589,essay-AAAOPP13416000025589_human_ai_polished_claude-3-5-sonnet-20241022,1,182
0–200,essay-AAAOPP13416000025589,essay-AAAOPP13416000025589_human_written,0,191
200–400,essay-AAAOPP13416000026626,essay-AAAOPP13416000026626_ai_generated_claude-3-5-sonnet-20241022,2,336
200–400,essay-AAAOPP13416000026626,essay-AAAOPP13416000026626_ai_generated_claude-3-5-sonnet-20241022_THEN_gpt-4o-2024-11-20,2,352
200–400,essay-AAAOPP13416000026626,essay-AAAOPP13416000026626_human_ai_polished_gemini-1.5-pro-002,1,349
200–400,essay-AAAOPP13416000026626,essay-AAAOPP13416000026626_human_written,0,336
200–400,essay-AAAOPP13416000027682,essay-AAAOPP13416000027682_ai_generated_gpt-4o-2024-11-20,2,207
200–400,essay-AAAOPP13416000027682,essay-AAAOPP13416000027682_ai_humanized_tool,3,227
200–400,essay-AAAOPP13416000027682,essay-AAAOPP13416000027682_human_ai_polished_claude-3-5-sonnet-20241022,1,223
200–400,essay-AAAOPP13416000027682,essay-AAAOPP13416000027682_human_written,0,210
200–400,essay-AAAOPP13416000028880,essay-AAAOPP13416000028880_ai_generated_claude-3-5-sonnet-20241022,2,303
200–400,essay-AAAOPP13416000028880,essay-AAAOPP13416000028880_ai_generated_claude-3-5-sonnet-20241022_THEN_claude-3-5-sonnet-20241022,2,305
200–400,essay-AAAOPP13416000028880,essay-AAAOPP13416000028880_human_ai_polished_gpt-4o-2024-11-20,1,283
200–400,essay-AAAOPP13416000028880,essay-AAAOPP13416000028880_human_written,0,300
200–400,essay-AAAOPP13416000029537,essay-AAAOPP13416000029537_ai_generated_claude-3-5-sonnet-20241022,2,321
200–400,essay-AAAOPP13416000029537,essay-AAAOPP13416000029537_ai_humanized_tool,3,303
200–400,essay-AAAOPP13416000029537,essay-AAAOPP13416000029537_human_ai_polished_gpt-3.5-turbo,1,345
200–400,essay-AAAOPP13416000029537,essay-AAAOPP13416000029537_human_written,0,360
0–200,essay-AAAOPP13416000030525,essay-AAAOPP13416000030525_ai_generated_qwen2.5-72b-instruct,2,174
0–200,essay-AAAOPP13416000030525,essay-AAAOPP13416000030525_ai_humanized_tool,3,190
0–200,essay-AAAOPP13416000030525,essay-AAAOPP13416000030525_human_ai_polished_gpt-3.5-turbo,1,175
0–200,essay-AAAOPP13416000030525,essay-AAAOPP13416000030525_human_written,0,187
200–400,essay-AAAOPP13416000034791,essay-AAAOPP13416000034791_ai_generated_gpt-3.5-turbo,2,286
200–400,essay-AAAOPP13416000034791,essay-AAAOPP13416000034791_ai_generated_gpt-3.5-turbo_THEN_gpt-4o-2024-11-20,2,318
0–200,essay-AAAOPP13416000034791,essay-AAAOPP13416000034791_human_ai_polished_gpt-4o-2024-11-20,1,190
200–400,essay-AAAOPP13416000034791,essay-AAAOPP13416000034791_human_written,0,255
200–400,essay-AAAOPP13416000034822,essay-AAAOPP13416000034822_ai_generated_gpt-3.5-turbo,2,276
200–400,essay-AAAOPP13416000034822,essay-AAAOPP13416000034822_ai_humanized_human,3,308
200–400,essay-AAAOPP13416000034822,essay-AAAOPP13416000034822_human_ai_polished_claude-3-5-sonnet-20241022,1,296
200–400,essay-AAAOPP13416000034822,essay-AAAOPP13416000034822_human_written,0,288
200–400,essay-AAAOPP13416000035630,essay-AAAOPP13416000035630_ai_generated_gemini-1.5-pro-002,2,369
200–400,essay-AAAOPP13416000035630,essay-AAAOPP13416000035630_ai_generated_gemini-1.5-pro-002_THEN_claude-3-5-sonnet-20241022,2,361
200–400,essay-AAAOPP13416000035630,essay-AAAOPP13416000035630_human_ai_polished_gpt-4o-2024-11-20,1,370
200–400,essay-AAAOPP13416000035630,essay-AAAOPP13416000035630_human_written,0,386
200–400,essay-AAAOPP13416000036646,essay-AAAOPP13416000036646_ai_generated_qwen2.5-72b-instruct,2,364
400–600,essay-AAAOPP13416000036646,essay-AAAOPP13416000036646_ai_generated_qwen2.5-72b-instruct_THEN_gpt-3.5-turbo,2,420
200–400,essay-AAAOPP13416000036646,essay-AAAOPP13416000036646_human_ai_polished_gpt-4o-2024-11-20,1,230
200–400,essay-AAAOPP13416000036646,essay-AAAOPP13416000036646_human_written,0,385
200–400,essay-AAAOPP13416000037189,essay-AAAOPP13416000037189_ai_generated_qwen2.5-72b-instruct,2,242
200–400,essay-AAAOPP13416000037189,essay-AAAOPP13416000037189_ai_humanized_tool,3,300
200–400,essay-AAAOPP13416000037189,essay-AAAOPP13416000037189_human_ai_polished_gemini-1.5-pro-002,1,265
200–400,essay-AAAOPP13416000037189,essay-AAAOPP13416000037189_human_written,0,238
200–400,essay-AAAOPP13416000038193,essay-AAAOPP13416000038193_ai_generated_gpt-4o-2024-11-20,2,399
400–600,essay-AAAOPP13416000038193,essay-AAAOPP13416000038193_ai_generated_gpt-4o-2024-11-20_THEN_gpt-4o-2024-11-20,2,439
400–600,essay-AAAOPP13416000038193,essay-AAAOPP13416000038193_human_ai_polished_gemini-1.5-pro-002,1,409
200–400,essay-AAAOPP13416000038193,essay-AAAOPP13416000038193_human_written,0,352
200–400,essay-AAAOPP13416000038606,essay-AAAOPP13416000038606_ai_generated_llama-3.3-70b-instruct,2,239
200–400,essay-AAAOPP13416000038606,essay-AAAOPP13416000038606_ai_humanized_tool,3,215
200–400,essay-AAAOPP13416000038606,essay-AAAOPP13416000038606_human_ai_polished_gemini-1.5-pro-002,1,247
200–400,essay-AAAOPP13416000038606,essay-AAAOPP13416000038606_human_written,0,251
200–400,essay-AAAOPP13416000039739,essay-AAAOPP13416000039739_ai_generated_gemini-1.5-pro-002,2,394
200–400,essay-AAAOPP13416000039739,essay-AAAOPP13416000039739_ai_generated_gemini-1.5-pro-002_THEN_claude-3-5-sonnet-20241022,2,377
200–400,essay-AAAOPP13416000039739,essay-AAAOPP13416000039739_human_ai_polished_claude-3-5-sonnet-20241022,1,382
200–400,essay-AAAOPP13416000039739,essay-AAAOPP13416000039739_human_written,0,385
200–400,essay-AAAOPP13416000040172,essay-AAAOPP13416000040172_ai_generated_llama-3.3-70b-instruct,2,352
400–600,essay-AAAOPP13416000040172,essay-AAAOPP13416000040172_ai_humanized_tool,3,412
200–400,essay-AAAOPP13416000040172,essay-AAAOPP13416000040172_human_ai_polished_claude-3-5-sonnet-20241022,1,355
200–400,essay-AAAOPP13416000040172,essay-AAAOPP13416000040172_human_written,0,359
200–400,essay-AAAOPP13416000041622,essay-AAAOPP13416000041622_ai_generated_gemini-1.5-pro-002,2,244
200–400,essay-AAAOPP13416000041622,essay-AAAOPP13416000041622_ai_generated_gemini-1.5-pro-002_THEN_gpt-3.5-turbo,2,244
200–400,essay-AAAOPP13416000041622,essay-AAAOPP13416000041622_human_ai_polished_claude-3-5-sonnet-20241022,1,217
0–200,essay-AAAOPP13416000041622,essay-AAAOPP13416000041622_human_written,0,46
0–200,essay-AAAOPP13416000044126,essay-AAAOPP13416000044126_ai_generated_llama-3.3-70b-instruct,2,150
0–200,essay-AAAOPP13416000044126,essay-AAAOPP13416000044126_ai_generated_llama-3.3-70b-instruct_THEN_gpt-4o-2024-11-20,2,140
0–200,essay-AAAOPP13416000044126,essay-AAAOPP13416000044126_human_ai_polished_claude-3-5-sonnet-20241022,1,141
0–200,essay-AAAOPP13416000044126,essay-AAAOPP13416000044126_human_written,0,137
200–400,essay-AAAOPP13416000044463,essay-AAAOPP13416000044463_ai_generated_gemini-1.5-pro-002,2,367
200–400,essay-AAAOPP13416000044463,essay-AAAOPP13416000044463_ai_generated_gemini-1.5-pro-002_THEN_gpt-4o-2024-11-20,2,387
200–400,essay-AAAOPP13416000044463,essay-AAAOPP13416000044463_human_ai_polished_claude-3-5-sonnet-20241022,1,365
200–400,essay-AAAOPP13416000044463,essay-AAAOPP13416000044463_human_written,0,360
200–400,essay-AAAOPP13416000044513,essay-AAAOPP13416000044513_ai_generated_gpt-4o-2024-11-20,2,318
200–400,essay-AAAOPP13416000044513,essay-AAAOPP13416000044513_ai_generated_gpt-4o-2024-11-20_THEN_claude-3-5-sonnet-20241022,2,346
200–400,essay-AAAOPP13416000044513,essay-AAAOPP13416000044513_human_ai_polished_gpt-4o-2024-11-20,1,287
200–400,essay-AAAOPP13416000044513,essay-AAAOPP13416000044513_human_written,0,310
200–400,essay-AAAOPP13416000044730,essay-AAAOPP13416000044730_ai_generated_gpt-3.5-turbo,2,353
200–400,essay-AAAOPP13416000044730,essay-AAAOPP13416000044730_ai_generated_gpt-3.5-turbo_THEN_claude-3-5-sonnet-20241022,2,375
200–400,essay-AAAOPP13416000044730,essay-AAAOPP13416000044730_human_ai_polished_gpt-3.5-turbo,1,338
200–400,essay-AAAOPP13416000044730,essay-AAAOPP13416000044730_human_written,0,350
200–400,essay-AAAOPP13416000045616,essay-AAAOPP13416000045616_ai_generated_llama-3.3-70b-instruct,2,358
200–400,essay-AAAOPP13416000045616,essay-AAAOPP13416000045616_ai_generated_llama-3.3-70b-instruct_THEN_claude-3-5-sonnet-20241022,2,366
200–400,essay-AAAOPP13416000045616,essay-AAAOPP13416000045616_human_ai_polished_gemini-1.5-pro-002,1,376
200–400,essay-AAAOPP13416000045616,essay-AAAOPP13416000045616_human_written,0,369
0–200,essay-AAAOPP13416000046235,essay-AAAOPP13416000046235_ai_generated_llama-3.3-70b-instruct,2,138
0–200,essay-AAAOPP13416000046235,essay-AAAOPP13416000046235_ai_humanized_human,3,146
0–200,essay-AAAOPP13416000046235,essay-AAAOPP13416000046235_human_ai_polished_claude-3-5-sonnet-20241022,1,142
0–200,essay-AAAOPP13416000046235,essay-AAAOPP13416000046235_human_written,0,148
200–400,essay-AAAOPP13416000046315,essay-AAAOPP13416000046315_ai_generated_llama-3.3-70b-instruct,2,243
200–400,essay-AAAOPP13416000046315,essay-AAAOPP13416000046315_ai_humanized_tool,3,234
200–400,essay-AAAOPP13416000046315,essay-AAAOPP13416000046315_human_ai_polished_claude-3-5-sonnet-20241022,1,248
200–400,essay-AAAOPP13416000046315,essay-AAAOPP13416000046315_human_written,0,242
200–400,essay-AAAOPP13416000047218,essay-AAAOPP13416000047218_ai_generated_claude-3-5-sonnet-20241022,2,339
200–400,essay-AAAOPP13416000047218,essay-AAAOPP13416000047218_ai_generated_claude-3-5-sonnet-20241022_THEN_gpt-4o-2024-11-20,2,357
200–400,essay-AAAOPP13416000047218,essay-AAAOPP13416000047218_human_ai_polished_gpt-4o-2024-11-20,1,257
200–400,essay-AAAOPP13416000047218,essay-AAAOPP13416000047218_human_written,0,374
200–400,essay-AAAOPP13416000047370,essay-AAAOPP13416000047370_ai_generated_gpt-3.5-turbo,2,327
200–400,essay-AAAOPP13416000047370,essay-AAAOPP13416000047370_ai_generated_gpt-3.5-turbo_THEN_gemini-1.5-pro-002,2,346
200–400,essay-AAAOPP13416000047370,essay-AAAOPP13416000047370_human_ai_polished_gpt-4o-2024-11-20,1,279
200–400,essay-AAAOPP13416000047370,essay-AAAOPP13416000047370_human_written,0,327
400–600,essay-AAAOPP13416000047746,essay-AAAOPP13416000047746_ai_generated_claude-3-5-sonnet-20241022,2,418
400–600,essay-AAAOPP13416000047746,essay-AAAOPP13416000047746_ai_generated_claude-3-5-sonnet-20241022_THEN_gemini-1.5-pro-002,2,445
400–600,essay-AAAOPP13416000047746,essay-AAAOPP13416000047746_human_ai_polished_claude-3-5-sonnet-20241022,1,406
200–400,essay-AAAOPP13416000047746,essay-AAAOPP13416000047746_human_written,0,379
400–600,essay-AAAOPP13416000048798,essay-AAAOPP13416000048798_ai_generated_gpt-4o-2024-11-20,2,418
200–400,essay-AAAOPP13416000048798,essay-AAAOPP13416000048798_ai_humanized_tool,3,378
200–400,essay-AAAOPP13416000048798,essay-AAAOPP13416000048798_human_ai_polished_gpt-4o-2024-11-20,1,266
400–600,essay-AAAOPP13416000048798,essay-AAAOPP13416000048798_human_written,0,415
200–400,essay-AAAOPP13416000049619,essay-AAAOPP13416000049619_ai_generated_gpt-4o-2024-11-20,2,206
0–200,essay-AAAOPP13416000049619,essay-AAAOPP13416000049619_ai_generated_gpt-4o-2024-11-20_THEN_claude-3-5-sonnet-20241022,2,165
0–200,essay-AAAOPP13416000049619,essay-AAAOPP13416000049619_human_ai_polished_claude-3-5-sonnet-20241022,1,194
200–400,essay-AAAOPP13416000049619,essay-AAAOPP13416000049619_human_written,0,213
200–400,essay-AAAOPP13416000050084,essay-AAAOPP13416000050084_ai_generated_llama-3.3-70b-instruct,2,328
200–400,essay-AAAOPP13416000050084,essay-AAAOPP13416000050084_ai_generated_llama-3.3-70b-instruct_THEN_gpt-3.5-turbo,2,367
200–400,essay-AAAOPP13416000050084,essay-AAAOPP13416000050084_human_ai_polished_gpt-4o-2024-11-20,1,318
200–400,essay-AAAOPP13416000050084,essay-AAAOPP13416000050084_human_written,0,337
400–600,essay-AAAOPP13416000051328,essay-AAAOPP13416000051328_ai_generated_gemini-1.5-pro-002,2,413
400–600,essay-AAAOPP13416000051328,essay-AAAOPP13416000051328_ai_generated_gemini-1.5-pro-002_THEN_claude-3-5-sonnet-20241022,2,447
200–400,essay-AAAOPP13416000051328,essay-AAAOPP13416000051328_human_ai_polished_gpt-4o-2024-11-20,1,243
400–600,essay-AAAOPP13416000051328,essay-AAAOPP13416000051328_human_written,0,411
200–400,essay-AAAOPP13416000052525,essay-AAAOPP13416000052525_ai_generated_claude-3-5-sonnet-20241022,2,337
200–400,essay-AAAOPP13416000052525,essay-AAAOPP13416000052525_ai_generated_claude-3-5-sonnet-20241022_THEN_gemini-1.5-pro-002,2,377
200–400,essay-AAAOPP13416000052525,essay-AAAOPP13416000052525_human_ai_polished_gemini-1.5-pro-002,1,328
200–400,essay-AAAOPP13416000052525,essay-AAAOPP13416000052525_human_written,0,297
200–400,essay-AAAOPP13416000060230,essay-AAAOPP13416000060230_ai_generated_qwen2.5-72b-instruct,2,223
200–400,essay-AAAOPP13416000060230,essay-AAAOPP13416000060230_ai_generated_qwen2.5-72b-instruct_THEN_gemini-1.5-pro-002,2,228
